,Расстояние
948,1877
949,4244
950,2617
951,2617
952,2617
953,1877
954,1877
955,1877
956,1877
957,1877
958,1425
959,1425
960,80
961,3772
962,1877
963,1877
964,1877
965,4244
966,4244
967,4244
968,1877
969,2146
970,2146
971,2146
972,1877
973,1877
974,1877
975,1877
976,2194
977,2194
978,2194
979,2194
980,1877
981,1877
982,1361
983,1877
984,1877
985,1877
986,1877
987,1877
988,1877
989,1877
990,1877
991,1877
992,1877
993,1877
994,1877
995,1877
996,1877
997,1361
998,1877
999,1877
1000,1877
1001,3772
1002,3772
1003,1425
1004,1425
1005,1877
1006,1877
1007,1877
1008,1877
1009,1877
1010,2732
1011,2732
1012,436
1013,1877
1014,1877
1015,1877
1016,1877
1017,1877
1018,1877
1019,1877
1020,1877
1021,1923
1022,1361
1023,1361
1024,1361
1025,1877
1026,2356
1027,2356
1028,1877
1029,1877
1030,1877
1031,1877
1032,2782
1033,3772
1034,3772
1035,3772
1036,3772
1037,2356
1038,2356
1039,1877
1040,1361
1041,1361
1042,2617
1043,1877
1044,1877
1045,1877
1046,1877
1047,3772
1048,3772
1049,1361
1050,1361
1051,1361
1052,1877
1053,1877
1054,1877
1055,1425
1056,1425
1057,1877
1058,1877
1059,1877
1060,1361
1061,1877
1062,80
1063,1877
1064,0
1065,2146
1066,2146
1067,1877
1068,2356
1069,2356
1070,4244
1071,4244
1072,1877
1073,2356
1074,1877
1075,1877
1076,4244
1077,4244
1078,3772
1079,3772
1080,1877
1081,1877
1082,1877
1083,2274
1084,2274
1085,4244
1086,4244
1087,1877
1088,1877
1089,1877
1090,1877
1091,1877
1092,1877
1093,1877
1094,2356
1095,2356
1096,1877
1097,1877
1098,1877
1099,1877
1100,1877
1101,2356
1102,1877
1103,1877
1104,1877
1105,1877
1106,80
1107,1877
1108,1877
1109,1877
1110,1877
1111,2356
1112,2356
1113,1877
1114,1877
1115,1425
1116,1877
1117,1877
1118,1877
1119,1877
1120,1877
1121,1877
1122,1877
1123,1877
1124,1877
1125,1877
1126,1877
1127,1877
1128,1877
1129,1877
1130,1877
1131,1877
1132,1877
1133,1877
1134,1877
1135,1877
1136,4244
1137,4244
1138,4244
1139,4244
1140,4244
1141,2356
1142,2356
1143,2356
1144,753
1145,753
1146,753
1147,1877
1148,1877
1149,582
1150,1877
1151,1877
1152,1877
1153,1361
1154,1361
1155,1877
1156,1877
1157,1877
1158,436
1159,1877
1160,1877
1161,1877
1162,1877
1163,1877
1164,3772
1165,3772
1166,1877
1167,1877
1168,1877
1169,1877
1170,1877
1171,1877
1172,4244
1173,1877
1174,1877
1175,1361
1176,1207
1177,1207
1178,1207
1179,1207
1180,997
1181,997
1182,2732
1183,1877
1184,1877
1185,1877
1186,1877
1187,1877
1188,1877
1189,1877
1190,1877
1191,3772
1192,3772
1193,1877
1194,1877
1195,1877
1196,1877
1197,1877
1198,2146
1199,2146
1200,80
1201,1877
1202,1877
1203,1877
1204,1877
1205,1877
1206,1877
1207,1877
1208,1877
1209,1877
1210,1877
1211,1877
1212,1877
1213,2356
1214,2356
1215,1877
1216,1877
1217,1877
1218,1877
1219,1877
1220,1877
1221,1877
1222,1877
1223,436
1224,4244
1225,1877
1226,1877
1227,1877
1228,1207
1229,1877
1230,1877
1231,1877
1232,1877
1233,1877
1234,2146
1235,1877
1236,1877
1237,2356
1238,2356
1239,1877
1240,1877
1241,1877
1242,1877
1243,1877
1244,1877
1245,1877
1246,1877
1247,1877
1248,1361
1249,436
1250,436
1251,1877
1252,1877
1253,1877
1254,1877
1255,1877
1256,1877
1257,1877
1258,1877
1259,1877
1260,1877
1261,1877
1262,1877
1263,436
1264,436
1265,1877
1266,1877
1267,1877
1268,1877
1269,1877
1270,1877
1271,1877
1272,1877
1273,1877
1274,1877
1275,1877
1276,1877
1277,1877
1278,2356
1279,1877
1280,1207
1281,1207
1282,1877
1283,1877
1284,1877
1285,1877
1286,1877
1287,1877
1288,1877
1289,1877
1290,2732
1291,2732
1292,2732
1293,2356
1294,2356
1295,1877
1296,1877
1297,1877
1298,1877
1299,1877
1300,2146
1301,1877
1302,1877
1303,1877
1304,1877
1305,1877
1306,1877
1307,1877
1308,1877
1309,436
1310,1877
1311,1877
1312,1877
1313,1877
1314,1877
1315,1877
1316,2356
1317,2356
1318,1877
1319,2146
1320,1877
1321,582
1322,582
1323,2044
1324,2044
1325,1877
1326,1877
1327,1877
1328,2356
1329,2356
1330,3772
1331,3772
1332,3334
1333,1425
1334,1425
1335,2146
1336,1877
1337,1877
1338,1877
1339,1877
1340,1877
1341,1877
1342,1877
1343,1877
1344,4244
1345,4244
1346,4244
1347,1877
1348,1877
1349,1877
1350,1877
1351,2356
1352,2356
1353,1877
1354,1877
1355,1877
1356,3334
1357,1877
1358,1877
1359,1877
1360,0
1361,1877
1362,1877
1363,1877
1364,1877
1365,1361
1366,1361
1367,1361
1368,1361
1369,1877
1370,1877
1371,1877
1372,1877
1373,1877
1374,1877
1375,1877
1376,1877
1377,1877
1378,2356
1379,1877
1380,1877
1381,1877
1382,1877
1383,1877
1384,1877
1385,1877
1386,1877
1387,2146
1388,2146
1389,2146
1390,1877
1391,1877
1392,1877
1393,1877
1394,3772
1395,3772
1396,2356
1397,1877
1398,1877
1399,1877
1400,3772
1401,1877
1402,1877
1403,1877
1404,1877
1405,436
1406,436
1407,1877
1408,1877
1409,1877
1410,1877
1411,1877
1412,1877
1413,1877
1414,2356
1415,2356
1416,1877
1417,2732
1418,2732
1419,1877
1420,1877
1421,2356
1422,2356
1423,1877
1424,1877
1425,1877
1426,1877
1427,1877
1428,1877
1429,1877
1430,3754
1431,1877
1432,2333
1433,1877
1434,1877
1435,3334
1436,3334
1437,1877
1438,1877
1439,1877
1440,4244
1441,1877
1442,1877
1443,1877
1444,1877
1445,2356
1446,1877
1447,1877
1448,1877
1449,2476
